通貨ペア	買い業者	売り業者	買いswap	売りswap	買い+売りswap	100万・100万で両建てした時のswap	spread分を取り戻すまでの日数
CHF/JPY	ライブスター証券	FXプライム(選べる外貨)	22	30	52	41.71580306932	13.846153846154
ZAR/JPY	サクソバンクFX(FX CHOICE)	FXプライム(選べる外貨)	13	-9	4	39.381707197007	75
CHF/JPY	ライブスター証券	FXブロードネット	22	22	44	35.297987212502	15.909090909091
CHF/JPY	ライブスター証券	外為オンライン	22	20	42	33.693533248297	19.52380952381
CHF/JPY	ライブスター証券	DMM FX	22	15	37	29.682398337786	13.513513513514
ZAR/JPY	サクソバンクFX(FX CHOICE)	DMM FX	13	-10	3	29.536280397755	46.666666666667
CHF/JPY	ライブスター証券	みんなのFX	22	13	35	28.077944373581	9.1428571428571
CHF/JPY	ライブスター証券	GMOクリック証券(FXネオ)	22	12	34	27.275717391479	14.705882352941
CHF/JPY	ライブスター証券	FXトレード・フィナンシャル(高速FX)	22	12	34	27.275717391479	24.117647058824
AUD/USD	ライブスター証券	DMM FX	68	-45	23	24.554810607678	19.751573913043
CHF/JPY	マネーパートナーズ(パートナーズFX nano)	FXプライム(選べる外貨)	0	30	30	24.066809463069	21.333333333333
CHF/JPY	マネーパートナーズ(パートナーズFX)	FXプライム(選べる外貨)	0	30	30	24.066809463069	26
AUD/USD	ライブスター証券	FXトレード・フィナンシャル(高速FX)	68	-47	21	22.419609685271	26.186923809524
AUD/USD	ライブスター証券	FXプライム(直トレFX)	68	-49	19	20.284408762865	27.685031578947
AUD/USD	ライブスター証券	FXプライム(選べる外貨)	68	-49	19	20.284408762865	35.235494736842
AUD/JPY	ライブスター証券	DMM FX	64	-46	18	19.216808301661	21.666666666667
AUD/USD	ライブスター証券	みんなのFX	68	-50	18	19.216808301661	17.268188888889
NZD/JPY	ヒロセ通商(LION FX)	FXプライム(選べる外貨)	90	-73	17	18.818424344399	20.588235294118
NZD/JPY	JFX	FXプライム(選べる外貨)	90	-73	17	18.818424344399	20.588235294118
NZD/JPY	ライブスター証券	FXプライム(選べる外貨)	89	-73	16	17.711458206493	35
CAD/JPY	ライブスター証券	FXトレード・フィナンシャル(高速FX)	27	-10	17	17.694141157613	47.647058823529
CAD/JPY	ライブスター証券	DMM FX	27	-10	17	17.694141157613	28.235294117647
CHF/JPY	マネーパートナーズ(パートナーズFX)	FXブロードネット	0	22	22	17.648993606251	34.545454545455
CHF/JPY	マネーパートナーズ(パートナーズFX nano)	FXブロードネット	0	22	22	17.648993606251	28.181818181818
CHF/JPY	ライブスター証券	サクソバンクFX(スタンダード)	22	0	22	17.648993606251	32.727272727273
CHF/JPY	ライブスター証券	サクソバンクFX(FX CHOICE)	22	0	22	17.648993606251	23.636363636364
CAD/JPY	ライブスター証券	FXブロードネット	27	-11	16	16.653309324812	49.375
NZD/JPY	ヒロセ通商(LION FX)	DMM FX	90	-75	15	16.604492068588	20
NZD/JPY	JFX	DMM FX	90	-75	15	16.604492068588	20
CHF/JPY	マネーパートナーズ(パートナーズFX nano)	外為オンライン	0	20	20	16.044539642046	37
CHF/JPY	マネーパートナーズ(パートナーズFX)	外為オンライン	0	20	20	16.044539642046	44
NZD/JPY	ライブスター証券	DMM FX	89	-75	14	15.497525930682	36.428571428571
NZD/JPY	マネーパートナーズ(パートナーズFX nano)	FXプライム(選べる外貨)	87	-73	14	15.497525930682	28.571428571429
AUD/JPY	ライブスター証券	FXプライム(選べる外貨)	64	-50	14	14.946406456848	32.142857142857
AUD/JPY	ライブスター証券	FXトレード・フィナンシャル(高速FX)	64	-50	14	14.946406456848	26.428571428571
AUD/JPY	ライブスター証券	FXプライム(直トレFX)	64	-50	14	14.946406456848	34.285714285714
CHF/JPY	FXトレード・フィナンシャル(高速FX)	FXプライム(選べる外貨)	-12	30	18	14.440085677842	50
NZD/JPY	サクソバンクFX(FX CHOICE)	FXプライム(選べる外貨)	86	-73	13	14.390559792776	38.461538461538
NZD/JPY	JFX	FXトレード・フィナンシャル(高速FX)	90	-77	13	14.390559792776	34.615384615385
NZD/JPY	ヒロセ通商(LION FX)	FXトレード・フィナンシャル(高速FX)	90	-77	13	14.390559792776	34.615384615385
NZD/JPY	サクソバンクFX(スタンダード)	FXプライム(選べる外貨)	86	-73	13	14.390559792776	53.846153846154
AUD/JPY	ライブスター証券	FXブロードネット	64	-51	13	13.878805995644	52.307692307692
AUD/JPY	マネーパートナーズ(パートナーズFX nano)	DMM FX	59	-46	13	13.878805995644	13.076923076923
AUD/USD	GMOクリック証券(FXネオ)	DMM FX	58	-45	13	13.878805995644	22.070584615385
NZD/JPY	ライブスター証券	FXトレード・フィナンシャル(高速FX)	89	-77	12	13.28359365487	55
NZD/JPY	マネーパートナーズ(パートナーズFX nano)	DMM FX	87	-75	12	13.28359365487	29.166666666667
AUD/JPY	GMOクリック証券(FXネオ)	DMM FX	58	-46	12	12.811205534441	11.666666666667
NZD/JPY	サクソバンクFX(FX CHOICE)	DMM FX	86	-75	11	12.176627516964	40.909090909091
NZD/JPY	サクソバンクFX(スタンダード)	DMM FX	86	-75	11	12.176627516964	59.090909090909
CHF/JPY	マネーパートナーズ(パートナーズFX)	DMM FX	0	15	15	12.033404731535	37.333333333333
CHF/JPY	DMM FX	FXプライム(選べる外貨)	-15	30	15	12.033404731535	38.666666666667
CHF/JPY	マネーパートナーズ(パートナーズFX nano)	DMM FX	0	15	15	12.033404731535	28
AUD/USD	ライブスター証券	JFX	68	-57	11	11.743605073237	41.298745454545
AUD/JPY	サクソバンクFX(スタンダード)	DMM FX	57	-46	11	11.743605073237	29.090909090909
AUD/JPY	ヒロセ通商(LION FX)	DMM FX	57	-46	11	11.743605073237	14.545454545455
AUD/USD	FXブロードネット	DMM FX	56	-45	11	11.743605073237	33.691081818182
AUD/USD	GMOクリック証券(FXネオ)	FXトレード・フィナンシャル(高速FX)	58	-47	11	11.743605073237	34.777890909091
AUD/USD	ライブスター証券	ヒロセ通商(LION FX)	68	-57	11	11.743605073237	41.298745454545
AUD/JPY	JFX	DMM FX	57	-46	11	11.743605073237	14.545454545455
AUD/JPY	サクソバンクFX(FX CHOICE)	DMM FX	57	-46	11	11.743605073237	22.727272727273
CAD/JPY	ライブスター証券	GMOクリック証券(FXネオ)	27	-16	11	11.449150160809	43.636363636364
EUR/USD	マネーパートナーズ(パートナーズFX)	FXプライム(選べる外貨)	0	15	15	11.21143267161	14.34588
